dsname,project,filename,version,sha2
box,d48ce,tkxnh,1,4ac2038735c5286ca0d6a706b4feef5b34bd93560bc4cabc7223addf2366e4c0
elstongrizzle,d48ce,5vrbw,1,f33e08ad5a91ab5dd9889953dbb97cc52a299fdac9db8b37ec4f87ad2dacadbd
oxboys,d48ce,cz6g3,1,079f46e404e43c1848a65d3a4e5b6a14b2cb17565c77819d7ee3effe72f5ebd0
elp_ldt_item,d48ce,c6gxd,1,f851910e1435659ca662ad49cfb8deb6b7cf287e4ce4969103dba11b32ab2e6c
elp_ldt_subj,d48ce,rqenu,2,d9c88915681b64fc9db975f9bb2d6f402058fee5cb35887f9de7d07776efdd56
elp_ldt_trial,d48ce,3evhy,2,57a83679f8f458b1d9bb56e05099a556ffdaf15af67464e9ee608c844fc4fa9c
fggk21,d48ce,vwecy,1,0fa959f095f8b92135496b6f8c8a8b5a3e896e8875f0ba6928bd074559d8a796
kkl15,d48ce,p8cea,2,90d7bb137c8613d7a15c8597c461aee7c7cb0f0989a07c80fc93e1fbe2e5c156
kwdyz11,d48ce,4cv52,3,2fa23aa8aa25e1adb10183c8d29646ae0d19d6baef9d711c9906f7fa1b225571
cbpp,a94tr,dywvu,1,f528a88ae8427ab3b96b5e1ef1f4f143fc47c17780d6e30afb75e520e8bc0091
contra,a94tr,n7jxd,1,5994ebe24bd1a3faa5e578a9eea9bb4737ad4025022e75d6b19bffd66e800152
d3,a94tr,m6vjt,1,878a141a5621d906c352e0aa3a29032653919446f5a541c5ecc39b247f4a19ff
dyestuff,a94tr,9vztj,1,e91a491547ef9e86d657370c0195d13047e3e5b06ac709f2aa89c6780ad24ab7
dyestuff2,a94tr,sr5v4,1,59857f679232fa8d6eea15e877ebf1b691e5aea1925dffdff02ff7cc40c208e0
grouseticks,a94tr,9jhnp,1,8041ecdfd62dd65d53da1f835d8b94fc78c5b78353d4dc72a1548760b5f9b152
insteval,a94tr,fbdxa,1,1f46ae62a5e5519b6774392c1351629cc750b135981d20953711618105866878
kb07,a94tr,xwh49,1,86549da5fdfb86b8562bc05d5ace44890cfd3673bb094e9a9f7bac6588cc2a0d
machines,a94tr,uznmg,1,0a3a1adf7bd3b970da0a82a2daa6d6e76368c292d808ae0c8056e03b35a3b7b9
ml1m,a94tr,fubnw,1,5316cd17af885accd741ccd7f4d8f0b597f3b6b46c5769e57a7bde31ca77956f
mmec,a94tr,5cxrm,1,d63f4b75bd0705d2316e176b189fda8e5216e2cb72d1aa550ef010371a1a07a9
mrk17_exp1,a94tr,mb3fj,1,2d70546bcb96993c4642a3962b174cbfe2627a41eeb3952c6f0d7ad4b8103a7b
oxide,a94tr,zh5gj,1,b7ccdb74baf8662719b1621fd6912e551a747cdaba6c0858576ad1418ff80d4c
pastes,a94tr,5cxd6,1,8130b80fd9be615f8da3a21f3b5c412c05f72350e40262869068c4648d80931f
penicillin,a94tr,nk3tu,1,499357c35cc171f14fa38d373c5d40cbf40f82ede333f5a5ad3a1c9f1d027381
sleepstudy,a94tr,cq5xr,1,6f607c260a88fc2e8960944fa65a0458661f24c1f1bac64eba98983232e29549
verbagg,a94tr,nmy3f,1,a447d8d4cc0c737d541d47fc73f73d02d044106a207a82be5f33923756745331
ml32_movies,a94tr,8d93r,1,e09894d3de1b7d74e22973bcc768a714b6254fe5f578fb01f5f8a92953082cef
ml32_ratings,a94tr,dn2qk,1,27811b9c9ca44ae193a708e43d3fefa00206b8a745f7b55eda50ed8c56a2bbbb
